,alpha,mass,folder_path,model_name
102,1.23,16.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.8,stir2_14may19_s16.8_alpha1.23
103,1.23,16.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.9,stir2_14may19_s16.9_alpha1.23
104,1.23,17.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_17.0,stir2_14may19_s17.0_alpha1.23
105,1.23,17.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_17.1,stir2_14may19_s17.1_alpha1.23
106,1.23,17.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_17.3,stir2_14may19_s17.3_alpha1.23
107,1.23,17.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_17.4,stir2_14may19_s17.4_alpha1.23
108,1.23,17.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_17.5,stir2_14may19_s17.5_alpha1.23
109,1.23,17.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_17.6,stir2_14may19_s17.6_alpha1.23
110,1.23,18.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_18.6,stir2_14may19_s18.6_alpha1.23
111,1.23,18.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_18.8,stir2_14may19_s18.8_alpha1.23
112,1.23,18.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_18.9,stir2_14may19_s18.9_alpha1.23
113,1.23,19.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_19.0,stir2_14may19_s19.0_alpha1.23
114,1.23,19.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_19.1,stir2_14may19_s19.1_alpha1.23
115,1.23,19.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_19.2,stir2_14may19_s19.2_alpha1.23
116,1.23,19.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_19.3,stir2_14may19_s19.3_alpha1.23
117,1.23,19.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_19.7,stir2_14may19_s19.7_alpha1.23
118,1.23,19.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_19.8,stir2_14may19_s19.8_alpha1.23
119,1.23,19.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_19.9,stir2_14may19_s19.9_alpha1.23
120,1.23,20.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_20.0,stir2_14may19_s20.0_alpha1.23
121,1.23,20.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_20.1,stir2_14may19_s20.1_alpha1.23
122,1.23,20.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_20.2,stir2_14may19_s20.2_alpha1.23
123,1.23,20.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_20.3,stir2_14may19_s20.3_alpha1.23
124,1.23,20.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_20.4,stir2_14may19_s20.4_alpha1.23
125,1.23,20.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_20.5,stir2_14may19_s20.5_alpha1.23
126,1.23,21.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_21.0,stir2_14may19_s21.0_alpha1.23
127,1.23,21.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_21.1,stir2_14may19_s21.1_alpha1.23
128,1.23,21.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_21.5,stir2_14may19_s21.5_alpha1.23
129,1.23,21.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_21.6,stir2_14may19_s21.6_alpha1.23
130,1.23,21.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_21.7,stir2_14may19_s21.7_alpha1.23
131,1.23,21.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_21.8,stir2_14may19_s21.8_alpha1.23
132,1.23,21.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_21.9,stir2_14may19_s21.9_alpha1.23
133,1.23,22.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.0,stir2_14may19_s22.0_alpha1.23
134,1.23,22.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.1,stir2_14may19_s22.1_alpha1.23
135,1.23,22.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.2,stir2_14may19_s22.2_alpha1.23
136,1.23,22.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.3,stir2_14may19_s22.3_alpha1.23
137,1.23,22.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.4,stir2_14may19_s22.4_alpha1.23
138,1.23,22.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.5,stir2_14may19_s22.5_alpha1.23
139,1.23,22.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.6,stir2_14may19_s22.6_alpha1.23
140,1.23,22.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.7,stir2_14may19_s22.7_alpha1.23
141,1.23,22.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.8,stir2_14may19_s22.8_alpha1.23
142,1.23,22.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_22.9,stir2_14may19_s22.9_alpha1.23
143,1.23,23.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.0,stir2_14may19_s23.0_alpha1.23
144,1.23,23.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.1,stir2_14may19_s23.1_alpha1.23
145,1.23,23.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.2,stir2_14may19_s23.2_alpha1.23
146,1.23,23.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.3,stir2_14may19_s23.3_alpha1.23
147,1.23,23.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.4,stir2_14may19_s23.4_alpha1.23
148,1.23,23.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.5,stir2_14may19_s23.5_alpha1.23
149,1.23,23.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.6,stir2_14may19_s23.6_alpha1.23
150,1.23,23.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.7,stir2_14may19_s23.7_alpha1.23
151,1.23,23.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.8,stir2_14may19_s23.8_alpha1.23
152,1.23,23.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_23.9,stir2_14may19_s23.9_alpha1.23
153,1.23,24.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.0,stir2_14may19_s24.0_alpha1.23
154,1.23,24.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.1,stir2_14may19_s24.1_alpha1.23
155,1.23,24.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.2,stir2_14may19_s24.2_alpha1.23
156,1.23,24.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.3,stir2_14may19_s24.3_alpha1.23
157,1.23,24.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.4,stir2_14may19_s24.4_alpha1.23
158,1.23,24.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.5,stir2_14may19_s24.5_alpha1.23
159,1.23,24.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.6,stir2_14may19_s24.6_alpha1.23
160,1.23,24.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.7,stir2_14may19_s24.7_alpha1.23
161,1.23,24.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.8,stir2_14may19_s24.8_alpha1.23
162,1.23,24.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_24.9,stir2_14may19_s24.9_alpha1.23
163,1.23,25.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.0,stir2_14may19_s25.0_alpha1.23
164,1.23,25.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.1,stir2_14may19_s25.1_alpha1.23
165,1.23,25.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.2,stir2_14may19_s25.2_alpha1.23
166,1.23,25.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.3,stir2_14may19_s25.3_alpha1.23
167,1.23,25.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.4,stir2_14may19_s25.4_alpha1.23
168,1.23,25.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.5,stir2_14may19_s25.5_alpha1.23
169,1.23,25.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.6,stir2_14may19_s25.6_alpha1.23
170,1.23,25.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.7,stir2_14may19_s25.7_alpha1.23
171,1.23,25.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.8,stir2_14may19_s25.8_alpha1.23
172,1.23,25.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_25.9,stir2_14may19_s25.9_alpha1.23
173,1.23,26.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.0,stir2_14may19_s26.0_alpha1.23
174,1.23,26.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.1,stir2_14may19_s26.1_alpha1.23
175,1.23,26.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.2,stir2_14may19_s26.2_alpha1.23
176,1.23,26.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.3,stir2_14may19_s26.3_alpha1.23
177,1.23,26.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.4,stir2_14may19_s26.4_alpha1.23
178,1.23,26.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.5,stir2_14may19_s26.5_alpha1.23
179,1.23,26.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.6,stir2_14may19_s26.6_alpha1.23
180,1.23,26.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.7,stir2_14may19_s26.7_alpha1.23
181,1.23,26.8,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.8,stir2_14may19_s26.8_alpha1.23
182,1.23,26.9,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_26.9,stir2_14may19_s26.9_alpha1.23
