set zams_mass xi1.75 xi2.5 ni56 ni56_error ni57 ni57_error ni58 ni58_error ti44 ti44_error
"Curtis+ 2019 (WHW02)" 35.0 0.5523945555936078 0.20338272603001517 0.0967 0.0 0.00154 0 0.000414 0 3.98e-05 0.0
"Curtis+ 2019 (WHW02)" 36.0 0.5847259504768949 0.20423519662364187 0.104 0.0 0.00172 0 0.000443 0 4.07e-05 0.0
"Curtis+ 2019 (WHW02)" 37.0 0.6897548092763692 0.2795932049643621 0.158 0.0 0.00361 0 0.00336 0 8.1e-05 0.0
"Curtis+ 2019 (WHW02)" 38.0 0.5355864556685459 0.24048339062686316 0.0897 0.0 0.00144 0 0.000293 0 4.21e-05 0.0
"Curtis+ 2019 (WHW02)" 40.0 0.7579446015246581 0.2625606570402814 0.0879 0.0 0.00161 0 0.000371 0 4.69e-05 0.0
"Curtis+ 2019 (WHW02)" 75.0 0.311060099474853 0.11151350566800636 0.0265 0.0 0.000404 0 0.000147 0 1.5e-05 0.0
"Curtis+ 2019 (WH07)" 12.0 -1.0 -1.0 0.0387 0.0 0.00133 0 0.00138 0 2.37e-05 0.0
"Curtis+ 2019 (WH07)" 13.0 -1.0 -1.0 0.055 0.0 0.00192 0 0.00209 0 3.48e-05 0.0
"Curtis+ 2019 (WH07)" 14.0 -1.0 -1.0 0.0715 0.0 0.00251 0 0.00285 0 4.26e-05 0.0
"Curtis+ 2019 (WH07)" 15.0 -1.0 -1.0 0.117 0.0 0.00428 0 0.0076 0 5.38e-05 0.0
"Curtis+ 2019 (WH07)" 16.0 -1.0 -1.0 0.0664 0.0 0.00209 0 0.00288 0 3.02e-05 0.0
"Curtis+ 2019 (WH07)" 17.0 -1.0 -1.0 0.0703 0.0 0.00218 0 0.00287 0 3.09e-05 0.0
"Curtis+ 2019 (WH07)" 18.0 -1.0 -1.0 0.094 0.0 0.00358 0 0.00632 0 5.87e-05 0.0
"Curtis+ 2019 (WH07)" 19.0 -1.0 -1.0 0.0871 0.0 0.00269 0 0.00326 0 3.57e-05 0.0
"Curtis+ 2019 (WH07)" 20.0 -1.0 -1.0 0.112 0.0 0.00341 0 0.00424 0 4.92e-05 0.0
"Curtis+ 2019 (WH07)" 21.0 -1.0 -1.0 0.0622 0.0 0.00246 0 0.00607 0 2.98e-05 0.0
"Curtis+ 2019 (WH07)" 22.0 -1.0 -1.0 0.114 0.0 0.00349 0 0.0043 0 4.91e-05 0.0
"Curtis+ 2019 (WH07)" 25.0 -1.0 -1.0 0.118 0.0 0.00351 0 0.00469 0 7.73e-05 0.0
"Curtis+ 2019 (WH07)" 26.0 -1.0 -1.0 0.0733 0.0 0.00216 0 0.0023 0 3.73e-05 0.0
"Curtis+ 2019 (WH07)" 27.0 -1.0 -1.0 0.0862 0.0 0.00257 0 0.003 0 4.26e-05 0.0
"Curtis+ 2019 (WH07)" 28.0 -1.0 -1.0 0.153 0.0 0.00584 0 0.0155 0 6.18e-05 0.0
"Curtis+ 2019 (WH07)" 29.0 -1.0 -1.0 0.0963 0.0 0.0029 0 0.00368 0 4.08e-05 0.0
"Curtis+ 2019 (WH07)" 30.0 -1.0 -1.0 0.108 0.0 0.00331 0 0.00368 0 4.27e-05 0.0
"Curtis+ 2019 (WH07)" 31.0 -1.0 -1.0 0.0993 0.0 0.00297 0 0.00331 0 3.92e-05 0.0
"Curtis+ 2019 (WH07)" 32.0 -1.0 -1.0 0.113 0.0 0.00339 0 0.00387 0 4.54e-05 0.0
"Curtis+ 2019 (WH07)" 33.0 -1.0 -1.0 0.118 0.0 0.00355 0 0.00419 0 4.95e-05 0.0
"Curtis+ 2019 (WH07)" 50.0 -1.0 -1.0 0.106 0.0 0.00319 0 0.00352 0 4.15e-05 0.0
"Curtis+ 2019 (WH07)" 55.0 -1.0 -1.0 0.0997 0.0 0.00297 0 0.00363 0 4.27e-05 0.0
"Curtis+ 2019 (WH07)" 60.0 -1.0 -1.0 0.0832 0.0 0.00127 0 0.000491 0 5.67e-05 0.0
"Curtis+ 2019 (WH07)" 70.0 -1.0 -1.0 0.0984 0.0 0.00303 0 0.00378 0 3.92e-05 0.0
"Curtis+ 2019 (WH07)" 80.0 -1.0 -1.0 0.088 0.0 0.00269 0 0.00341 0 3.55e-05 0.0
"Curtis+ 2019 (WH07)" 100.0 -1.0 -1.0 0.123 0.0 0.00409 0 0.00538 0 6.14e-05 0.0
"Curtis+ 2019 (WH07)" 120.0 -1.0 -1.0 0.0809 0.0 0.00256 0 0.00295 0 3.62e-05 0.0
"Cas A" 20.0 -1.0 0.15 0.25 0.0 0.0 0 0.0 0 0.000154 2.1e-05
1987A 20.0 -1.0 0.255 0.069 0.003 0.0 0 0.0 0 0.00015 3e-05
